reaction;bound
EX_4abut_e;10
EX_akg_e;10
EX_ala__D_e;10
EX_ala__L_e;10
EX_ala_B_e;10
EX_arg__L_e;10
EX_cit_e;10
EX_glc__aD_e;10
EX_glc__D_e;10
EX_glu__L_e;10
EX_gly_e;10
EX_inost_e;10
EX_mal__D_e;10
EX_mal__L_e;10
EX_ptrc_e;10
EX_pyr_e;10
EX_sbt__D_e;10
EX_succ_e;10
EX_sucr_e;10
EX_urea_e;10
EX_xyl__D_e;10
EX_ca2_e;1000.0
EX_cl_e;1000.0
EX_cobalt2_e;1000.0
EX_cu2_e;1000.0
EX_fe2_e;1000.0
EX_fe3_e;1000.0
EX_h_e;1000.0
EX_k_e;1000.0
EX_mg2_e;1000.0
EX_mn2_e;1000.0
EX_mobd_e;1000.0
EX_na1_e;1000.0
EX_nh4_e;1000.0
EX_o2_e;1000.0
EX_pi_e;1000.0
EX_so4_e;1000.0
EX_zn2_e;1000.0
