Metabolite;Category
Alanine;Amino acids
Asparagine;Amino acids
Aspartate;Amino acids
GABA;Amino acids
Glutamate;Amino acids
Glycine;Amino acids
Isoleucine;Amino acids
Leucine;Amino acids
Proline;Amino acids
Pyroglutamate;Amino acids
Serine;Amino acids
Threonine;Amino acids
Valine;Amino acids
Aconitate;Organic acids
Citrate;Organic acids
Fumarate;Organic acids
Isocitrate;Organic acids
Malate;Organic acids
Succinate;Organic acids
Myo-inositol;Sugar Alcohols
Fructose;Sugars
Glucose;Sugars
Pentose;Sugars
Ribose;Sugars
Xylose;Sugars
