reaction;bound
EX_4abut_e;1000.0
EX_acon_C_e;1000.0
EX_ala__D_e;1000.0
EX_ala__L_e;1000.0
EX_ala_B_e;1000.0
EX_arab__D_e;1000.0
EX_arab__L_e;1000.0
EX_arg__L_e;1000.0
EX_asn__L_e;1000.0
EX_asp__D_e;1000.0
EX_asp__L_e;1000.0
EX_bz_e;1000.0
EX_cit_e;1000.0
EX_fru_e;1000.0
EX_fum_e;1000.0
EX_glc__aD_e;1000.0
EX_glc__D_e;1000.0
EX_gln__L_e;1000.0
EX_glu__L_e;1000.0
EX_glutar_e;1000.0
EX_gly_e;1000.0
EX_leu__D_e;1000.0
EX_leu__L_e;1000.0
EX_lys__D_e;1000.0
EX_lys__L_e;1000.0
EX_mal__D_e;1000.0
EX_mal__L_e;1000.0
EX_oaa_e;1000.0
EX_ser__D_e;1000.0
EX_ser__L_e;1000.0
EX_succ_e;1000.0
EX_sucr_e;1000.0
EX_val__D_e;1000.0
EX_val__L_e;1000.0
