reaction;bound
EX_4abut_e;1000.0
EX_acon_C_e;1000.0
EX_ala__D_e;1000.0
EX_ala__L_e;1000.0
EX_ala_B_e;1000.0
EX_asn__L_e;1000.0
EX_asp__D_e;1000.0
EX_asp__L_e;1000.0
EX_cit_e;1000.0
EX_fru_e;1000.0
EX_fum_e;1000.0
EX_glc__aD_e;1000.0
EX_glc__D_e;1000.0
EX_glu__L_e;1000.0
EX_gly_e;1000.0
EX_icit_e;1000.0
EX_ile__L_e;1000.0
EX_inost_e;1000.0
EX_leu__D_e;1000.0
EX_leu__L_e;1000.0
EX_mal__D_e;1000.0
EX_mal__L_e;1000.0
EX_pro__L_e;1000.0
EX_rib__D_e;1000.0
EX_ser__D_e;1000.0
EX_ser__L_e;1000.0
EX_succ_e;1000.0
EX_thr__L_e;1000.0
EX_val__D_e;1000.0
EX_val__L_e;1000.0
EX_xyl__D_e;1000.0
