reaction;bound
EX_mal__D_e;10
EX_mal__L_e;10
EX_glc__D_e;10
EX_glc__aD_e;10
EX_arg__L_e;10
EX_pro__L_e;10
EX_ser__L_e;10
EX_ser__D_e;10
EX_asn__L_e;10
EX_leu__D_e;10
EX_leu__L_e;10
EX_ile__L_e;10
EX_lys__L_e;10
EX_lys__D_e;10
EX_cys__L_e;10
EX_gln__L_e;10
EX_ribflv_e;10
EX_nac_e;10
EX_pydxn_e;10
EX_pydam_e;10
EX_pnto__R_e;10
EX_btn_e;10
EX_nh4_e;1000
EX_no3_e;1000
EX_ca2_e;1000
EX_cl_e;1000
EX_mg2_e;1000
EX_so4_e;1000
EX_k_e;1000
EX_h_e;1000
EX_pi_e;1000
EX_cobalt2_e;1000
EX_fe2_e;1000
EX_fe3_e;1000
EX_mn2_e;1000
EX_na1_e;1000
EX_mobd_e;1000
EX_zn2_e;1000
EX_cu2_e;1000
EX_inost_e;10
EX_thm_e;10
EX_gly_e;10
EX_o2_e;1000
EX_bz_e;10
