reaction;bound
EX_3mb_e;10
EX_ala__D_e;10
EX_ala__L_e;10
EX_all__D_e;10
EX_bz_e;10
EX_ca2_e;1000
EX_cl_e;1000
EX_cobalt2_e;1000
EX_cu2_e;1000
EX_fe2_e;1000
EX_fe3_e;1000
EX_fru_e;10
EX_gal_e;10
EX_glcn__D_e;10
EX_glcn_e;10
EX_gly_e;10
EX_h_e;1000
EX_hdcea_e;10
EX_ile__L_e;10
EX_inost_e;10
EX_k_e;1000
EX_lac__D_e;10
EX_lac__L_e;10
EX_lnlc_e;10
EX_malt_e;10
EX_mg2_e;1000
EX_mn2_e;1000
EX_mobd_e;1000
EX_na1_e;1000
EX_nh4_e;1000
EX_o2_e;1000
EX_ocdcea_e;10
EX_pi_e;1000
EX_rib__D_e;10
EX_rmn_e;10
EX_so4_e;1000
EX_srb__L_e;10
EX_succ_e;10
EX_urea_e;10
EX_val__D_e;10
EX_val__L_e;10
EX_zn2_e;1000
