met_delete;met_keep;rxn_dup_pairs[del_rxn, keep_rxn]
1btol_c;btoh_c;[(BTS, ALCD4)]
2h3opp_c;2h3oppan_c;[(HOXPRx, TRSARr), (GLXCBL, GLXCL), (GLCRAL_1, GLCRAL)]
2hymeph_c;2hxmp_c;[]
4met2obut_c;2kmb_c;[(ARAT, UNK3)]
34dhpacet_c;34dhpha_c;[(34DHPACDO, DHPDO)]
3hbycoa_c;3hbcoa_c;[(HACD1_1, HACD1), (ECOAH1_1, ECOAH1)]
hibcoa_c;3hibutcoa_c;[]
5d4dglcr_c;5dh4dglc_c;[(GLCRD_1, GLCRD), (GALCTD_1, GALCTD), (GLCRAL_1, GLCRAL)]
amacald_c;aacald_c;[ALDD31, ALDD31_1 and FDMOtau, FDMO4_1]
abt__L_c;abt_c;[(ABTt_1, ABTt), (ARABRr, ARABR)]
abt__L_e;abt_e;[(ABTt_1, ABTt), (EX_abt__L_e, EX_abt_e)]
acamoxm_c;nal2a6o_c;[]
ddcoa_c;ddcacoa_c;[(ACOAD5_1, ACOAD5), (ACACT6r_1, ACACT6r)]
dd2coa_c;trans_dd2coa_c;[(ACOAD5_1, ACOAD5), (ECOAH5_1,  ECOAH5)]
shcl_c;dscl_c;[]
eths_c;ethso3_c;[(FDMO1, FDMO3)]
eths_e;ethso3_e;[(EX_eths_e, EX_ethso3_e)]
galctr__D_c;galct__D_c;[(GALCTD_1, GALCTD)]
galctr__D_e;galct__D_e;[(EX_galctr__D_e, EX_galct__D_e)]
glcn__D_c;glcn_c;[(GNKr,  GNK_1), (GLCNt2ir, GLCNt2r)]
glcn__D_e;glcn_e;[]
istnt_c;isetac_c;[(FDMO6_1, FDMO)]
istnt_e;isetac_e;[(EX_istnt_e, EX_isetac_e)]
metox_c;metsox_S__L_c;[(METSR_S1,  METSOXR1), (METR_S2, METOX1s), (METSabc, METSOX1abc)]
metox_e;metsox_S__L_e;[(EX_metox_e, EX_metsox_S__L_e), (METSabc, METSOX1abc)]
orn__L_c;orn_c;[(ORNTA_1, ORNTA), (OCBT_1, OCBT), (ORNCD, ORNCD_1)]
orn__L_e;orn_e;[(EX_orn__L_e, EX_orn_e)]
srch_c;scl_c;[]
sula_c;sulfac_c;[(FDMO5_1, FDMO6)]
sula_e;sulfac_e;[(EX_sula_e, EX_sulfac_e)]
