Metabolite;Category
Alanine;Amino acids
Glycine;Amino acids
Isoleucine;Amino acids
Valine;Amino acids
Adipic acid ;Fatty Acids
Linoleic acid;Fatty Acids
Oleic acid ;Fatty Acids
Palmitoleic acid ;Fatty Acids
Stearic acid;Fatty Acids
Acetoacetic acid;Organic acids
Butanoic Acid;Organic acids
Lactic acid ;Organic acids
Malonic Acid;Organic acids
Succinic acid;Organic acids
Phosphoric acid;Others
Urea;Others
Gluconic acid;Sugar Acids
Threonic acid;Sugar Acids
Myo-inositol;Sugar Alcohols
Xylitol;Sugar Alcohols
Fructose;Sugars
Galactose;Sugars
Maltose;Sugars
Psicose;Sugars
Rhamnose;Sugars
Ribose;Sugars
Sorbose;Sugars
Talose;Sugars
