;minimum;maximum
EX_14glucan_e__AA1;-169.62250634135435;0.0
EX_2ddglcn_e__AA1;-1000.0;0.0
EX_2dhglcn_e__AA1;0.0;1000.0
EX_2m35mdntha_e__AA1;0.0;500.0
EX_35dnta_e__AA1;0.0;500.0
EX_3mb_e__AA1;-1.1299405855424993e-11;0.0
EX_3oxoadp_e__AA1;2.6147972675971687e-12;0.0
EX_4abut_e__AA1;-1000.0;0.0
EX_4abutn_e__AA1;0.0;1000.0
EX_4hbz_e__AA1;0.004057116948973021;0.004057116950024399
EX_5drib_e__AA1;0.0;7.692513293022785e-12
EX_6apa_e__AA1;-1.0044232112704776e-10;0.0
EX_6atha_e__AA1;-5.016431714466307e-12;0.0
EX_LalaDgluMdapDala_e__AA1;-0.9165785838004581;-0.9165785837941128
EX_LalaLglu_e__AA1;-671.0340266219359;0.0
EX_R_3h4atba_e__AA1;0.0;2.7853275241795927e-12
EX_R_3hhpa_e__AA1;-5.9117155615240335e-12;4.774847184307873e-12
EX_R_3hpba_e__AA1;0.0;8.810729923425242e-12
EX_R_3hpdeca_e__AA1;0.0;7.474909580196254e-12
EX_R_3hphpa_e__AA1;0.0;5.229594535194337e-12
EX_R_3hpnona_e__AA1;0.0;0.0
EX_R_3hpocta_e__AA1;0.0;7.275957614183426e-12
EX_ac_e__AA1;-1.0094636238022758e-10;0.0
EX_acac_e__AA1;-1.886757416968976e-11;0.0
EX_acald_e__AA1;-1000.0;1000.0
EX_acgam_e__AA1;-9.916201193505003e-11;0.0
EX_acmana_e__AA1;-1.957145556730211e-11;0.0
EX_actn__R_e__AA1;1.4551915228366852e-11;0.0
EX_ade_e__AA1;-6.764366844436154e-12;0.0
EX_adn_e__AA1;-6.738673345879317;-5.875595930251002
EX_agm_e__AA1;0.0;972.5835209481638
EX_akg_e__AA1;-999.4385181028874;0.0
EX_ala_B_e__AA1;-972.6025201294357;0.0
EX_ala_L_asp__L_e__AA1;-1.6982221184846935e-11;0.0
EX_ala_L_glu__L_e__AA1;-1.8530954548623413e-11;0.0
EX_ala_L_thr__L_e__AA1;-17.95079640720725;-17.94090099994543
EX_ala__D_e__AA1;-1000.0;0.0
EX_ala__L_e__AA1;-1000.0;0.0
EX_ala_gln_e__AA1;-8.71702912178282;0.0
EX_ala_his_e__AA1;-3.124903622870079;-3.12490362285116
EX_ala_leu_e__AA1;-1.9179324795004504e-11;0.0
EX_alagly_e__AA1;3.856115426970064e-11;0.0
EX_apc_e__AA1;0.0;0.0
EX_arab__D_e__AA1;0.0;7.2548980711850675e-12
EX_arab__L_e__AA1;0.0;0.0
EX_arbt6p_e__AA1;0.0;2.850919500474447e-11
EX_arbt_e__AA1;-2.850919500474447e-11;0.0
EX_arg__L_e__AA1;-982.3401285645625;-9.75660761692047
EX_aso3_e__AA1;0.0;1000.0
EX_aso4_e__AA1;-1000.0;0.0
EX_asp__D_e__AA1;-680.1246898271564;1000.0
EX_asp__L_e__AA1;-1000.0;0.0
EX_btd_RR_e__AA1;-1000.0;2.2964741219766438e-11
EX_but_e__AA1;-8.981260180007666e-12;0.0
EX_butso3_e__AA1;-9.18931597482242e-12;0.0
EX_bz_e__AA1;-982.107685449588;0.05884468812739553
EX_ca2_e__AA1;-0.17168531483639526;-0.17168531483639526
EX_cd2_e__AA1;0.0;0.0
EX_cellb_e__AA1;-1000.0;0.0
EX_cgly_e__AA1;-1.3642420526593924e-11;4.945377440890297e-12
EX_ch4s_e__AA1;0.0;4.502061099088438e-11
EX_chols_e__AA1;-1.5916157281026244e-11;0.0
EX_cinnm_e__AA1;0.0;2.2168933355715126e-12
EX_cit_e__AA1;-499.7192590517303;0.0
EX_cl_e__AA1;-0.17168531483639843;-0.17168531483639698
EX_cm_e__AA1;0.0;0.0
EX_co2_e__AA1;27.416479052457134;1000.0
EX_co_e__AA1;-0.0263877525414926;0.0
EX_cobalt2_e__AA1;-0.0032984690650437187;-0.0032984690650604558
EX_confrl_e__AA1;-1000.0;0.0
EX_cro4_e__AA1;0.0;0.0
EX_csn_e__AA1;-1000.0;0.0
EX_cu2_e__AA1;-0.023386145671278846;-0.023386145671278776
EX_cytd_e__AA1;-1000.0;0.0
EX_dad_2_e__AA1;-0.8630774155679033;0.0
EX_dca_e__AA1;-1.4104273304837989e-11;0.0
EX_dcyt_e__AA1;-0.8630774155637267;0.0
EX_ddca_e__AA1;1.220357148667972e-12;0.0
EX_dgsn_e__AA1;-0.8911473873073913;-0.8911473873270557
EX_din_e__AA1;-0.8630774155637264;0.0
EX_doxrbcn_e__AA1;0.0;0.0
EX_duri_e__AA1;-0.8630774155637275;0.0
EX_enter_e__AA1;0.0;5.4569682106375694e-12
EX_etoh_e__AA1;-1000.0;1000.0
EX_fald_e__AA1;0.0;1000.0
