;minimum;maximum
EX_14glucan_e__AA1;-169.62250634135395;0.0
EX_2ddglcn_e__AA1;-1000.0;0.0
EX_2dhglcn_e__AA1;0.0;1000.0
EX_2m35mdntha_e__AA1;0.0;500.0
EX_35dnta_e__AA1;0.0;500.0
EX_3mb_e__AA1;-9.817924251365184e-12;0.0
EX_3oxoadp_e__AA1;-3.908651180495326e-12;0.0
EX_4abut_e__AA1;-1000.0;0.0
EX_4abutn_e__AA1;0.0;1000.0
EX_4hbz_e__AA1;0.004057116949870621;0.004057116950024398
EX_5drib_e__AA1;0.0;4.547473508864641e-12
EX_6apa_e__AA1;-1.2391865311656147e-11;0.0
EX_6atha_e__AA1;-4.1247005810873816e-12;0.0
EX_LalaDgluMdapDala_e__AA1;-0.9165785838000602;-0.9165785837959826
EX_LalaLglu_e__AA1;-671.0340266220362;0.0
EX_R_3h4atba_e__AA1;0.0;2.2737367544323206e-13
EX_R_3hhpa_e__AA1;-3.013767013726465e-11;2.8954616482224083e-12
EX_R_3hpba_e__AA1;0.0;7.503331289626658e-12
EX_R_3hpdeca_e__AA1;0.0;0.0
EX_R_3hphpa_e__AA1;0.0;6.405542762877303e-12
EX_R_3hpnona_e__AA1;0.0;6.366462912410498e-12
EX_R_3hpocta_e__AA1;0.0;7.560174708487466e-12
EX_ac_e__AA1;-1.393263282523094e-11;0.0
EX_acac_e__AA1;6.293188192785237e-12;0.0
EX_acald_e__AA1;-1000.0;1000.0
EX_acgam_e__AA1;-1.148503514514232e-11;0.0
EX_acmana_e__AA1;-3.630651335129187e-11;0.0
EX_actn__R_e__AA1;-2.477926446694036e-11;0.0
EX_ade_e__AA1;-7.308591232213502e-12;0.0
EX_adn_e__AA1;-6.7386733458572;-5.8755959302748755
EX_agm_e__AA1;0.0;972.5835209475944
EX_akg_e__AA1;-999.4385181036795;0.0
EX_ala_B_e__AA1;-972.6025201294497;0.0
EX_ala_L_asp__L_e__AA1;-1.071409627684261e-11;0.0
EX_ala_L_glu__L_e__AA1;-9.811174095375463e-11;0.0
EX_ala_L_thr__L_e__AA1;-17.950796407109237;-17.940900999786834
EX_ala__D_e__AA1;-1000.0;0.0
EX_ala__L_e__AA1;-1000.0;0.0
EX_ala_gln_e__AA1;-8.717029121705659;0.0
EX_ala_his_e__AA1;-3.1249036228778095;-3.1249036228518774
