reaction_id,reaction_equation,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox,diphosphate_test,loop_test,dead_end_test,dilution_test,pathway,,,
12DGR120tipp,12dgr120_p --> 12dgr120_c,ok,ok,ok,N/A,N/A,ok,ok,12dgr120_p,12dgr120_c,18,,
12DGR140tipp,12dgr140_p --> 12dgr140_c,ok,ok,ok,N/A,N/A,ok,ok,12dgr140_p,12dgr140_c,15,,
12DGR141tipp,12dgr141_p --> 12dgr141_c,ok,ok,ok,N/A,N/A,ok,ok,12dgr141_p,12dgr141_c,16,,
12DGR161tipp,12dgr161_p --> 12dgr161_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
12DGR180tipp,12dgr180_p --> 12dgr180_c,ok,ok,ok,N/A,N/A,ok,ok,12dgr180_p,12dgr180_c,8,,
12DGR181tipp,12dgr181_p --> 12dgr181_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
13PPDH2_1,h_c + lald__L_c + nadph_c <=> 13ppd_c + nadp_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
13PPDtex,13ppd_e <=> 13ppd_p,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
13PPDtpp,13ppd_p <=> 13ppd_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
14GLUCANtexi,14glucan_e --> 14glucan_p,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
15DAPabcpp,15dap_p + atp_c + h2o_c --> 15dap_c + adp_c + h_c + pi_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
1P2CBXLCYCL,5a2opntn_c <=> 1p2cbxl_c + h2o_c + h_c,ok,ok,ok,N/A,N/A,ok,only when going backwards,ok,0,,,
1P2CBXLR,1p2cbxl_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
23CTI1,decoa_c --> dc2coa_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
23CTI2,dded3coa_c --> dd2coa_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
23CTI3,dd_3_6_coa_c --> dd6_2_coa_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
23DK5MPPISO,dkmpp_c <=> hkmpp_c,ok,ok,ok,N/A,N/A,in loop,only when going forwards,ok,0,,,
24DECOAR,dec4_2_coa_c + h_c + nadph_c --> dc2coa_c + nadp_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
2AACLPGT160,2agpg160_c + palmACP_c --> ACP_c + pg160_c,ok,ok,ok,N/A,N/A,ok,ok,palmACP_c,ACP_c,1,,
2AACLPGT181,2agpg181_c + octeACP_c --> ACP_c + pg181_c,ok,ok,ok,N/A,N/A,ok,ok,octeACP_c,ACP_c,pg181_c,1,
2AACLPPEAT160,2agpe160_c + palmACP_c --> ACP_c + pe160_c,ok,ok,ok,N/A,N/A,ok,ok,palmACP_c,ACP_c,1,,
2AACLPPEAT181,2agpe181_c + octeACP_c --> ACP_c + pe181_c,ok,ok,ok,N/A,N/A,ok,ok,octeACP_c,ACP_c,1,,
2ACLMM,alac__S_c --> 33hmeoxobut_c,ok,ok,ok,N/A,N/A,in loop,ok,ok,0,,,
2AGPE160tipp,2agpe160_p --> 2agpe160_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
2AGPE161tipp,2agpe161_p --> 2agpe161_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
2AGPE180tipp,2agpe180_p --> 2agpe180_c,ok,ok,ok,N/A,N/A,ok,ok,2agpe180_p,2agpe180_c,3,,
2AGPE181tipp,2agpe181_p --> 2agpe181_c,ok,ok,ok,N/A,N/A,ok,ok,ok,0,,,
2AGPEAT180,2agpe180_c + atp_c + ocdca_c --> amp_c + pe180_c + ppi_c,ok,ok,ok,N/A,N/A,ok,ok,2agpe180_c,pe180_c,3,,
