reaction_id,reaction_equation,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox,diphosphate_test,loop_test,dead_end_test,dilution_test,pathway
EX_12ppd__R_e,12ppd__R_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_2ameph_e,2ameph_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_2hxmp_e,2hxmp_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_2m35mdntha_e,2m35mdntha_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_35dnta_e,35dnta_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_3amp_e,3amp_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_3cmp_e,3cmp_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_3gmp_e,3gmp_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_3h4atb_e,3h4atb_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_3ump_e,3ump_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_4abut_e,4abut_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_4ahmmp_e,4ahmmp_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,4ahmmp_e,9
EX_4hba_e,4hba_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_4hbz_e,4hbz_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_4hpro_DC_e,4hpro_DC_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_4hpro_LT_e,4hpro_LT_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_5drib_e,5drib_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,5drib_e,13
EX_6pgc_e,6pgc_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_LalaDgluMdapDala_e,LalaDgluMdapDala_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,LalaDgluMdapDala_e,1
EX_LalaLglu_e,LalaLglu_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_Larab_e,Larab_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_R3hdec4e_e,R3hdec4e_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_R_3h6atha_e,R_3h6atha_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_R_3hcmrs7e_e,R_3hcmrs7e_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_R_3hdcaa_e,R_3hdcaa_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_R_3hdd5ea_e,R_3hdd5ea_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_R_3hdd6e_e,R_3hdd6e_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_R_3hdda_e,R_3hdda_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_R_3hhdca_e,R_3hhdca_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_R_3hhxa_e,R_3hhxa_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_R_3hocta_e,R_3hocta_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_R_3hpba_e,R_3hpba_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_R_3hpt_e,R_3hpt_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_R_3htd58e_e,R_3htd58e_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_R_3htd5e_e,R_3htd5e_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_R_3httdca_e,R_3httdca_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_abt__D_e,abt__D_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_abt__L_e,abt__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_abt_e,abt_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_acald_e,acald_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_acgam_e,acgam_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_acglu_e,acglu_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_acnam_e,acnam_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,acnam_e,1
EX_acser_e,acser_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_actn__R_e,actn__R_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_acysbmn_e,acysbmn_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,acysbmn_e,28
EX_ade_e,ade_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_adn_e,adn_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_agm_e,agm_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_akg_e,akg_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ala_L_asp__L_e,ala_L_asp__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ala_L_glu__L_e,ala_L_glu__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ala_L_thr__L_e,ala_L_thr__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ala__L_e,ala__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ala_gln_e,ala_gln_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ala_his_e,ala_his_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ala_leu_e,ala_leu_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_alagly_e,alagly_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_alahis_e,alahis_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_alaleu_e,alaleu_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_alathr_e,alathr_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_alatrp_e,alatrp_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_alltn_e,alltn_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_amp_e,amp_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_anhgm_e,anhgm_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,anhgm_e,1
EX_arab__D_e,arab__D_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_arab__L_e,arab__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_arbt_e,arbt_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_arg__L_e,arg__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_asn__L_e,asn__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_aso3_e,aso3_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,always blocked,0
EX_asp__L_e,asp__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_bmn_e,bmn_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,bmn_e,28
EX_btn_e,btn_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,always blocked,0
EX_bz_e,bz_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_ca2_e,ca2_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_carn_e,carn_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,carn_e,1
EX_cd2_e,cd2_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,always blocked,0
EX_cellb_e,cellb_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_cgly_e,cgly_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_chol_e,chol_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_cit_e,cit_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_cl_e,cl_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_cmcbtt_e,cmcbtt_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_cmp_e,cmp_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_co2_e,co2_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_co_e,co_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,co_e,9
EX_cobalt2_e,cobalt2_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_creat_e,creat_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_csn_e,csn_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_cu2_e,cu2_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_cyan_e,cyan_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_cys__L_e,cys__L_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_dad_2_e,dad_2_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
EX_dca_e,dca_e <=> ,ok,ok,ok,N/A,N/A,ok,ok,ok,0
