reaction_id,reaction_equation,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox,diphosphate_test,dead_end_test
EX_12ppd__R_e,12ppd__R_e <=> ,ok,ok,ok,ok,ok,ok
EX_25dkglcn_e,25dkglcn_e <=> ,ok,ok,ok,ok,ok,ok
EX_2dhglcn_e,2dhglcn_e <=> ,ok,ok,ok,ok,ok,ok
EX_2m35mdntha_e,2m35mdntha_e <=> ,ok,ok,ok,ok,ok,ok
EX_2pglyc_e,2pglyc_e <=> ,ok,ok,ok,ok,ok,ok
EX_35dnta_e,35dnta_e <=> ,ok,ok,ok,ok,ok,ok
EX_3h4atb_e,3h4atb_e <=> ,ok,ok,ok,ok,ok,ok
EX_3mb_e,3mb_e <=> ,ok,ok,ok,ok,ok,ok
EX_3oxoadp_e,3oxoadp_e <=> ,ok,ok,ok,ok,ok,ok
EX_4ahmmp_e,4ahmmp_e <=> ,ok,ok,ok,ok,ok,ok
EX_4hba_e,4hba_e <=> ,ok,ok,ok,ok,ok,ok
EX_4hbald_e,4hbald_e <=> ,ok,ok,ok,ok,ok,4hbald_e
EX_4hbz_e,4hbz_e <=> ,ok,ok,ok,ok,ok,ok
EX_4hoxpac_e,4hoxpac_e <=> ,ok,ok,ok,ok,ok,ok
EX_4hpro_LT_e,4hpro_LT_e <=> ,ok,ok,ok,ok,ok,ok
EX_4oxptn_e,4oxptn_e <=> ,ok,ok,ok,ok,ok,ok
EX_5drib_e,5drib_e <=> ,ok,ok,ok,ok,ok,ok
EX_5mdru1p_e,5mdru1p_e <=> ,ok,ok,ok,ok,ok,ok
EX_LalaDgluMdapDala_e,LalaDgluMdapDala_e <=> ,ok,ok,ok,ok,ok,ok
EX_LalaLglu_e,LalaLglu_e <=> ,ok,ok,ok,ok,ok,ok
EX_Lcyst_e,Lcyst_e <=> ,ok,ok,ok,ok,ok,ok
EX_R3hdec4e_e,R3hdec4e_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3h6atha_e,R_3h6atha_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hcmrs7e_e,R_3hcmrs7e_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hdcaa_e,R_3hdcaa_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hdd5ea_e,R_3hdd5ea_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hdd6e_e,R_3hdd6e_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hdda_e,R_3hdda_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hhdca_e,R_3hhdca_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hhxa_e,R_3hhxa_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hnonaa_e,R_3hnonaa_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hocta_e,R_3hocta_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hpba_e,R_3hpba_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hpdeca_e,R_3hpdeca_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hphpa_e,R_3hphpa_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hpnona_e,R_3hpnona_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hpocta_e,R_3hpocta_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3htd58e_e,R_3htd58e_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3htd5e_e,R_3htd5e_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3httdca_e,R_3httdca_e <=> ,ok,ok,ok,ok,ok,ok
EX_abt_e,abt_e <=> ,ok,ok,ok,ok,ok,ok
EX_ac_e,ac_e <=> ,ok,ok,ok,ok,ok,ok
EX_acald_e,acald_e <=> ,ok,ok,ok,ok,ok,ok
EX_acgam_e,acgam_e <=> ,ok,ok,ok,ok,ok,ok
EX_acglu_e,acglu_e <=> ,ok,ok,ok,ok,ok,ok
EX_acmana_e,acmana_e <=> ,ok,ok,ok,ok,ok,ok
EX_acnam_e,acnam_e <=> ,ok,ok,ok,ok,ok,ok
EX_acon_C_e,acon_C_e <=> ,ok,ok,ok,ok,ok,ok
