reaction_id,reaction_equation,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox,diphosphate_test,dead_end_test
EX_12ppd__R_e,12ppd__R_e <=> ,ok,ok,ok,ok,ok,ok
EX_2ameph_e,2ameph_e <=> ,ok,ok,ok,ok,ok,ok
EX_2hxmp_e,2hxmp_e <=> ,ok,ok,ok,ok,ok,ok
EX_2m35mdntha_e,2m35mdntha_e <=> ,ok,ok,ok,ok,ok,ok
EX_35dnta_e,35dnta_e <=> ,ok,ok,ok,ok,ok,ok
EX_3amp_e,3amp_e <=> ,ok,ok,ok,ok,ok,ok
EX_3cmp_e,3cmp_e <=> ,ok,ok,ok,ok,ok,ok
EX_3gmp_e,3gmp_e <=> ,ok,ok,ok,ok,ok,ok
EX_3h4atb_e,3h4atb_e <=> ,ok,ok,ok,ok,ok,ok
EX_3ump_e,3ump_e <=> ,ok,ok,ok,ok,ok,ok
EX_4abutn_e,4abutn_e <=> ,ok,ok,ok,ok,ok,ok
EX_4abz_e,4abz_e <=> ,ok,ok,ok,ok,ok,ok
EX_4ahmmp_e,4ahmmp_e <=> ,ok,ok,ok,ok,ok,ok
EX_4hba_e,4hba_e <=> ,ok,ok,ok,ok,ok,ok
EX_4hpro_DC_e,4hpro_DC_e <=> ,ok,ok,ok,ok,ok,ok
EX_4hpro_LT_e,4hpro_LT_e <=> ,ok,ok,ok,ok,ok,ok
EX_5drib_e,5drib_e <=> ,ok,ok,ok,ok,ok,ok
EX_6pgc_e,6pgc_e <=> ,ok,ok,ok,ok,ok,ok
EX_LalaDgluMdapDala_e,LalaDgluMdapDala_e <=> ,ok,ok,ok,ok,ok,ok
EX_LalaLglu_e,LalaLglu_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3h4atba_e,R_3h4atba_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hcmrs7e_e,R_3hcmrs7e_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hdcaa_e,R_3hdcaa_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hdd5ea_e,R_3hdd5ea_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hdda_e,R_3hdda_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hhdca_e,R_3hhdca_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hhpa_e,R_3hhpa_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hhxa_e,R_3hhxa_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hocta_e,R_3hocta_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hpba_e,R_3hpba_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3hpt_e,R_3hpt_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3htd58e_e,R_3htd58e_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3htd5e_e,R_3htd5e_e <=> ,ok,ok,ok,ok,ok,ok
EX_R_3httdca_e,R_3httdca_e <=> ,ok,ok,ok,ok,ok,ok
EX_abt__D_e,abt__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_abt_e,abt_e <=> ,ok,ok,ok,ok,ok,ok
EX_acald_e,acald_e <=> ,ok,ok,ok,ok,ok,ok
EX_acgam_e,acgam_e <=> ,ok,ok,ok,ok,ok,ok
EX_acglu_e,acglu_e <=> ,ok,ok,ok,ok,ok,ok
EX_acmum_e,acmum_e <=> ,ok,ok,ok,ok,ok,ok
EX_acnam_e,acnam_e <=> ,ok,ok,ok,ok,ok,ok
EX_acser_e,acser_e <=> ,ok,ok,ok,ok,ok,ok
EX_actn__R_e,actn__R_e <=> ,ok,ok,ok,ok,ok,ok
EX_acysbmn_e,acysbmn_e <=> ,ok,ok,ok,ok,ok,ok
EX_ade_e,ade_e <=> ,ok,ok,ok,ok,ok,ok
EX_adn_e,adn_e <=> ,ok,ok,ok,ok,ok,ok
EX_agm_e,agm_e <=> ,ok,ok,ok,ok,ok,ok
EX_akg_e,akg_e <=> ,ok,ok,ok,ok,ok,ok
EX_ala_L_asp__L_e,ala_L_asp__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_ala_L_glu__L_e,ala_L_glu__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_ala_L_thr__L_e,ala_L_thr__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_ala__D_e,ala__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_ala__L_e,ala__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_ala_gln_e,ala_gln_e <=> ,ok,ok,ok,ok,ok,ok
EX_ala_his_e,ala_his_e <=> ,ok,ok,ok,ok,ok,ok
EX_ala_leu_e,ala_leu_e <=> ,ok,ok,ok,ok,ok,ok
EX_alagly_e,alagly_e <=> ,ok,ok,ok,ok,ok,ok
EX_alahis_e,alahis_e <=> ,ok,ok,ok,ok,ok,ok
EX_alaleu_e,alaleu_e <=> ,ok,ok,ok,ok,ok,ok
EX_alathr_e,alathr_e <=> ,ok,ok,ok,ok,ok,ok
EX_alatrp_e,alatrp_e <=> ,ok,ok,ok,ok,ok,ok
EX_alltn_e,alltn_e <=> ,ok,ok,ok,ok,ok,ok
EX_amp_e,amp_e <=> ,ok,ok,ok,ok,ok,ok
EX_anhgm_e,anhgm_e <=> ,ok,ok,ok,ok,ok,ok
EX_arab__D_e,arab__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_arab__L_e,arab__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_arbt_e,arbt_e <=> ,ok,ok,ok,ok,ok,ok
EX_arg__L_e,arg__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_asn__L_e,asn__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_aso3_e,aso3_e <=> ,ok,ok,ok,ok,ok,ok
EX_asp__L_e,asp__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_bmn_e,bmn_e <=> ,ok,ok,ok,ok,ok,ok
EX_btn_e,btn_e <=> ,ok,ok,ok,ok,ok,ok
EX_bz_e,bz_e <=> ,ok,ok,ok,ok,ok,bz_e
EX_ca2_e,ca2_e <=> ,ok,ok,ok,ok,ok,ok
EX_carn_e,carn_e <=> ,ok,ok,ok,ok,ok,ok
EX_cd2_e,cd2_e <=> ,ok,ok,ok,ok,ok,ok
EX_cellb_e,cellb_e <=> ,ok,ok,ok,ok,ok,ok
EX_cgly_e,cgly_e <=> ,ok,ok,ok,ok,ok,ok
EX_ch4s_e,ch4s_e <=> ,ok,ok,ok,ok,ok,ok
EX_chol_e,chol_e <=> ,ok,ok,ok,ok,ok,ok
EX_cit_e,cit_e <=> ,ok,ok,ok,ok,ok,ok
EX_cl_e,cl_e <=> ,ok,ok,ok,ok,ok,ok
EX_cmp_e,cmp_e <=> ,ok,ok,ok,ok,ok,ok
EX_co2_e,co2_e <=> ,ok,ok,ok,ok,ok,ok
EX_co_e,co_e <=> ,ok,ok,ok,ok,ok,ok
EX_cobalt2_e,cobalt2_e <=> ,ok,ok,ok,ok,ok,ok
EX_creat_e,creat_e <=> ,ok,ok,ok,ok,ok,ok
EX_csn_e,csn_e <=> ,ok,ok,ok,ok,ok,ok
EX_cu2_e,cu2_e <=> ,ok,ok,ok,ok,ok,ok
EX_cyan_e,cyan_e <=> ,ok,ok,ok,ok,ok,ok
EX_cys__L_e,cys__L_e <=> ,ok,ok,ok,ok,ok,ok
EX_cytd_e,cytd_e <=> ,ok,ok,ok,ok,ok,ok
EX_dad_2_e,dad_2_e <=> ,ok,ok,ok,ok,ok,ok
EX_dca_e,dca_e <=> ,ok,ok,ok,ok,ok,ok
EX_dhptd_e,dhptd_e <=> ,ok,ok,ok,ok,ok,ok
EX_dmso2_e,dmso2_e <=> ,ok,ok,ok,ok,ok,ok
EX_drib_e,drib_e <=> ,ok,ok,ok,ok,ok,ok
EX_enter_e,enter_e <=> ,ok,ok,ok,ok,ok,ok
EX_etha_e,etha_e <=> ,ok,ok,ok,ok,ok,ok
EX_fe2_e,fe2_e <=> ,ok,ok,ok,ok,ok,ok
EX_fe3_e,fe3_e <=> ,ok,ok,ok,ok,ok,ok
EX_fe3dcit_e,fe3dcit_e <=> ,ok,ok,ok,ok,ok,ok
EX_fe3dhbzs3_e,fe3dhbzs3_e <=> ,ok,ok,ok,ok,ok,ok
EX_fe3pyovd_kt_e,fe3pyovd_kt_e <=> ,ok,ok,ok,ok,ok,ok
EX_feenter_e,feenter_e <=> ,ok,ok,ok,ok,ok,ok
EX_fol_e,fol_e <=> ,ok,ok,ok,ok,ok,ok
EX_for_e,for_e <=> ,ok,ok,ok,ok,ok,ok
EX_forglu_e,forglu_e <=> ,ok,ok,ok,ok,ok,ok
EX_frmd_e,frmd_e <=> ,ok,ok,ok,ok,ok,ok
EX_fru_e,fru_e <=> ,ok,ok,ok,ok,ok,ok
EX_g1p_e,g1p_e <=> ,ok,ok,ok,ok,ok,ok
EX_g3pc_e,g3pc_e <=> ,ok,ok,ok,ok,ok,ok
EX_ga_e,ga_e <=> ,ok,ok,ok,ok,ok,ok
EX_gal_bD_e,gal_bD_e <=> ,ok,ok,ok,ok,ok,ok
EX_gal_e,gal_e <=> ,ok,ok,ok,ok,ok,ok
EX_galct__D_e,galct__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_galctn__D_e,galctn__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_galman4_e,galman4_e <=> ,ok,ok,ok,ok,ok,ok
EX_galman6_e,galman6_e <=> ,ok,ok,ok,ok,ok,ok
EX_galt_e,galt_e <=> ,ok,ok,ok,ok,ok,ok
EX_galur_e,galur_e <=> ,ok,ok,ok,ok,ok,ok
EX_gam6p_e,gam6p_e <=> ,ok,ok,ok,ok,ok,ok
EX_gam_e,gam_e <=> ,ok,ok,ok,ok,ok,ok
EX_glc__D_e,glc__D_e <=> ,ok,ok,ok,ok,ok,ok
EX_glc__aD_e,glc__aD_e <=> ,ok,ok,ok,ok,ok,ok
EX_glcman4_e,glcman4_e <=> ,ok,ok,ok,ok,ok,ok
EX_glcman6_e,glcman6_e <=> ,ok,ok,ok,ok,ok,ok
EX_glcr_e,glcr_e <=> ,ok,ok,ok,ok,ok,ok
EX_glcur_e,glcur_e <=> ,ok,ok,ok,ok,ok,ok
