,Metabolites,Coefficients
0,nad_c,-0.0027955976355755283
1,nadh_c,-0.0027913502914935708
2,nadp_c,-0.00250121409670112
3,nadph_c,-0.0024978136236453144
4,coa_c,-0.0024254697059160925
5,amp_c,-0.005364493627147709
6,pyr_c,-0.02127242055691163
7,nh4_c,-0.1026613054469091
8,glu__L_c,-0.3088742159475492
9,glyc3p_c,-0.010889541117082933
10,accoa_c,-0.002298897698310387
11,h_c,89.08201514974198
12,mn2_c,-0.033708001750332485
13,ni2_c,-0.03155127922137501
14,mg2_c,-0.07619221772688138
15,zn2_c,-0.028311881420780807
16,k_c,-0.047363999249375344
17,cobalt2_c,-0.031422896632998916
18,fe2_c,-0.033160566780407415
19,fe3_c,-0.033160566780407415
20,cu2_c,-0.029141910613600414
21,ca2_c,-0.04620619421757203
22,cl_c,-0.05223399576486762
23,mobd_c,-0.01157858972406646
24,so4_c,-0.01927755288584581
25,na1_c,-0.08055112564640064
26,datp_c,-0.012215685700339
27,dttp_c,-0.0125788444494287
28,dctp_c,-0.0136593910844772
29,dgtp_c,-0.0119936136177088
30,utp_c,-0.1537957697910572
31,ctp_c,-0.1671601704512458
32,gtp_c,-0.1630664046711082
33,ala__L_c,-0.7866865810122878
34,cys__L_c,-0.0398668190559224
35,asp__L_c,-0.286019444825156
36,phe__L_c,-0.1259235649707084
37,gly_c,-0.8068327457540323
38,his__L_c,-0.0790953858010192
39,ile__L_c,-0.2907964681752003
40,lys__L_c,-0.2743566703314616
41,leu__L_c,-0.412515158577709
42,met__L_c,-0.1072396905276421
43,asn__L_c,-0.1875753847591035
44,pro__L_c,-0.2263526954082617
45,gln__L_c,-0.1617666257136686
46,arg__L_c,-0.1804871043699353
47,ser__L_c,-0.303827927523466
48,thr__L_c,-0.3058941971289796
49,val__L_c,-0.4469423839082195
50,trp__L_c,-0.0249659542378793
51,tyr__L_c,-0.0885307285804925
52,pe160_p,-0.0598423367039125
53,pe161_p,-0.0307107432573542
54,pe181_p,-0.0132509524519461
55,pg160_p,-0.0148265788551369
56,pg161_p,-0.0137327493190211
57,pg181_p,-0.0090980899401907
58,atp_c,-89.23769948488352
59,h2o_c,-83.63746540313328
60,adp_c,89.08201514974198
61,pi_c,89.08201514974198
62,ppi_c,0.6901542149069154
