reaction_id,reaction_equation,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox,diphosphate_test
EX_12ppd__R_e,12ppd__R_e <=> ,ok,ok,ok,ok,ok
EX_12ppd__S_e,12ppd__S_e <=> ,ok,ok,ok,ok,ok
EX_14glucan_e,14glucan_e <=> ,ok,ok,ok,ok,ok
EX_15dap_e,15dap_e <=> ,ok,ok,ok,ok,ok
EX_23camp_e,23camp_e <=> ,ok,ok,ok,ok,ok
EX_23ccmp_e,23ccmp_e <=> ,ok,ok,ok,ok,ok
EX_23cgmp_e,23cgmp_e <=> ,ok,ok,ok,ok,ok
EX_23cump_e,23cump_e <=> ,ok,ok,ok,ok,ok
EX_25dkglcn_e,25dkglcn_e <=> ,ok,ok,ok,ok,ok
EX_26dap__M_e,26dap__M_e <=> ,ok,ok,ok,ok,ok
EX_2ameph_e,2ameph_e <=> ,ok,ok,ok,ok,ok
EX_2ddglcn_e,2ddglcn_e <=> ,ok,ok,ok,ok,ok
EX_2dhglcn_e,2dhglcn_e <=> ,ok,ok,ok,ok,ok
EX_2hxmp_e,2hxmp_e <=> ,ok,ok,ok,ok,ok
EX_2m35mdntha_e,2m35mdntha_e <=> ,ok,ok,ok,ok,ok
EX_2pg_e,2pg_e <=> ,ok,ok,ok,ok,ok
EX_2pglyc_e,2pglyc_e <=> ,ok,ok,ok,ok,ok
EX_34dhpac_e,34dhpac_e <=> ,ok,ok,ok,ok,ok
EX_35dnta_e,35dnta_e <=> ,ok,ok,ok,ok,ok
EX_3amp_e,3amp_e <=> ,ok,ok,ok,ok,ok
EX_3cmp_e,3cmp_e <=> ,ok,ok,ok,ok,ok
EX_3gmp_e,3gmp_e <=> ,ok,ok,ok,ok,ok
EX_3hcinnm_e,3hcinnm_e <=> ,ok,ok,ok,ok,ok
EX_3hoxpac_e,3hoxpac_e <=> ,ok,ok,ok,ok,ok
EX_3hpppn_e,3hpppn_e <=> ,ok,ok,ok,ok,ok
EX_3mb_e,3mb_e <=> ,ok,ok,ok,ok,ok
EX_3ump_e,3ump_e <=> ,ok,ok,ok,ok,ok
EX_4abut_e,4abut_e <=> ,ok,ok,ok,ok,ok
EX_4abzglu_e,4abzglu_e <=> ,ok,ok,ok,ok,ok
EX_4hbald_e,4hbald_e <=> ,ok,ok,ok,ok,ok
EX_4hbz_e,4hbz_e <=> ,ok,ok,ok,ok,ok
EX_4hoxpac_e,4hoxpac_e <=> ,ok,ok,ok,ok,ok
EX_4hoxpacd_e,4hoxpacd_e <=> ,ok,ok,ok,ok,ok
EX_4hphac_e,4hphac_e <=> ,ok,ok,ok,ok,ok
EX_4hthr_e,4hthr_e <=> ,ok,ok,ok,ok,ok
EX_5dglcn_e,5dglcn_e <=> ,ok,ok,ok,ok,ok
EX_5drib_e,5drib_e <=> ,ok,ok,ok,ok,ok
EX_6apa_e,6apa_e <=> ,ok,ok,ok,ok,ok
EX_LalaDgluMdapDala_e,LalaDgluMdapDala_e <=> ,ok,ok,ok,ok,ok
EX_LalaDgluMdap_e,LalaDgluMdap_e <=> ,ok,ok,ok,ok,ok
EX_LalaDglu_e,LalaDglu_e <=> ,ok,ok,ok,ok,ok
EX_LalaLglu_e,LalaLglu_e <=> ,ok,ok,ok,ok,ok
EX_Lcyst_e,Lcyst_e <=> ,ok,ok,ok,ok,ok
EX_R3hdec4e_e,R3hdec4e_e <=> ,ok,ok,ok,ok,ok
EX_R_3httdca_e,R_3httdca_e <=> ,ok,ok,ok,ok,ok
EX_ac_e,ac_e <=> ,ok,ok,ok,ok,ok
EX_acald_e,acald_e <=> ,ok,ok,ok,ok,ok
EX_acgal1p_e,acgal1p_e <=> ,ok,ok,ok,ok,ok
EX_acgam1p_e,acgam1p_e <=> ,ok,ok,ok,ok,ok
EX_acgam_e,acgam_e <=> ,ok,ok,ok,ok,ok
EX_acmana_e,acmana_e <=> ,ok,ok,ok,ok,ok
EX_acmum_e,acmum_e <=> ,ok,ok,ok,ok,ok
EX_acnam_e,acnam_e <=> ,ok,ok,ok,ok,ok
EX_acon_C_e,acon_C_e <=> ,ok,ok,ok,ok,ok
EX_acser_e,acser_e <=> ,ok,ok,ok,ok,ok
EX_actn__R_e,actn__R_e <=> ,ok,ok,ok,ok,ok
EX_ad_e,ad_e <=> ,ok,ok,ok,ok,ok
EX_ade_e,ade_e <=> ,ok,ok,ok,ok,ok
EX_adn_e,adn_e <=> ,ok,ok,ok,ok,ok
EX_agm_e,agm_e <=> ,ok,ok,ok,ok,ok
EX_akg_e,akg_e <=> ,ok,ok,ok,ok,ok
EX_ala_B_e,ala_B_e <=> ,ok,ok,ok,ok,ok
EX_ala_L_asp__L_e,ala_L_asp__L_e <=> ,ok,ok,ok,ok,ok
EX_ala_L_glu__L_e,ala_L_glu__L_e <=> ,ok,ok,ok,ok,ok
EX_ala_L_thr__L_e,ala_L_thr__L_e <=> ,ok,ok,ok,ok,ok
EX_ala__D_e,ala__D_e <=> ,ok,ok,ok,ok,ok
EX_ala__L_e,ala__L_e <=> ,ok,ok,ok,ok,ok
EX_ala_gln_e,ala_gln_e <=> ,ok,ok,ok,ok,ok
EX_ala_his_e,ala_his_e <=> ,ok,ok,ok,ok,ok
EX_ala_leu_e,ala_leu_e <=> ,ok,ok,ok,ok,ok
EX_alaala_e,alaala_e <=> ,ok,ok,ok,ok,ok
EX_alagly_e,alagly_e <=> ,ok,ok,ok,ok,ok
EX_all__D_e,all__D_e <=> ,ok,ok,ok,ok,ok
EX_alltn_e,alltn_e <=> ,ok,ok,ok,ok,ok
EX_amp_e,amp_e <=> ,ok,ok,ok,ok,ok
EX_anhgm_e,anhgm_e <=> ,ok,ok,ok,ok,ok
EX_apc_e,apc_e <=> ,ok,ok,ok,ok,ok
EX_arab__D_e,arab__D_e <=> ,ok,ok,ok,ok,ok
EX_arab__L_e,arab__L_e <=> ,ok,ok,ok,ok,ok
EX_arbt6p_e,arbt6p_e <=> ,ok,ok,ok,ok,ok
EX_arbt_e,arbt_e <=> ,ok,ok,ok,ok,ok
EX_arg__L_e,arg__L_e <=> ,ok,ok,ok,ok,ok
EX_ascb__L_e,ascb__L_e <=> ,ok,ok,ok,ok,ok
EX_asn__L_e,asn__L_e <=> ,ok,ok,ok,ok,ok
EX_aso3_e,aso3_e <=> ,ok,ok,ok,ok,ok
EX_aso4_e,aso4_e <=> ,ok,ok,ok,ok,ok
EX_asp__L_e,asp__L_e <=> ,ok,ok,ok,ok,ok
EX_btn_e,btn_e <=> ,ok,ok,ok,ok,ok
EX_but_e,but_e <=> ,ok,ok,ok,ok,ok
EX_butso3_e,butso3_e <=> ,ok,ok,ok,ok,ok
EX_bz_e,bz_e <=> ,ok,ok,ok,ok,ok
EX_ca2_e,ca2_e <=> ,ok,ok,ok,ok,ok
EX_cd2_e,cd2_e <=> ,ok,ok,ok,ok,ok
EX_cellb_e,cellb_e <=> ,ok,ok,ok,ok,ok
EX_cgly_e,cgly_e <=> ,ok,ok,ok,ok,ok
EX_chol_e,chol_e <=> ,ok,ok,ok,ok,ok
EX_chols_e,chols_e <=> ,ok,ok,ok,ok,ok
EX_chtbs_e,chtbs_e <=> ,ok,ok,ok,ok,ok
EX_cit_e,cit_e <=> ,ok,ok,ok,ok,ok
EX_cl_e,cl_e <=> ,ok,ok,ok,ok,ok
EX_cm_e,cm_e <=> ,ok,ok,ok,ok,ok
EX_cmcbtt_e,cmcbtt_e <=> ,ok,ok,ok,ok,ok
EX_cmp_e,cmp_e <=> ,ok,ok,ok,ok,ok
EX_co2_e,co2_e <=> ,ok,ok,ok,ok,ok
EX_cobalt2_e,cobalt2_e <=> ,ok,ok,ok,ok,ok
EX_crn_e,crn_e <=> ,ok,ok,ok,ok,ok
EX_csn_e,csn_e <=> ,ok,ok,ok,ok,ok
EX_cu2_e,cu2_e <=> ,ok,ok,ok,ok,ok
EX_cu_e,cu_e <=> ,ok,ok,ok,ok,ok
EX_cyan_e,cyan_e <=> ,ok,ok,ok,ok,ok
EX_cys__D_e,cys__D_e <=> ,ok,ok,ok,ok,ok
EX_cys__L_e,cys__L_e <=> ,ok,ok,ok,ok,ok
EX_cytd_e,cytd_e <=> ,ok,ok,ok,ok,ok
EX_dad_2_e,dad_2_e <=> ,ok,ok,ok,ok,ok
EX_damp_e,damp_e <=> ,ok,ok,ok,ok,ok
EX_dca_e,dca_e <=> ,ok,ok,ok,ok,ok
EX_dcmp_e,dcmp_e <=> ,ok,ok,ok,ok,ok
EX_dcyt_e,dcyt_e <=> ,ok,ok,ok,ok,ok
EX_ddca_e,ddca_e <=> ,ok,ok,ok,ok,ok
EX_dgmp_e,dgmp_e <=> ,ok,ok,ok,ok,ok
EX_dgsn_e,dgsn_e <=> ,ok,ok,ok,ok,ok
EX_dha_e,dha_e <=> ,ok,ok,ok,ok,ok
EX_dimp_e,dimp_e <=> ,ok,ok,ok,ok,ok
EX_din_e,din_e <=> ,ok,ok,ok,ok,ok
EX_dms_e,dms_e <=> ,ok,ok,ok,ok,ok
EX_dmso_e,dmso_e <=> ,ok,ok,ok,ok,ok
EX_dopa_e,dopa_e <=> ,ok,ok,ok,ok,ok
EX_doxrbcn_e,doxrbcn_e <=> ,ok,ok,ok,ok,ok
EX_drib_e,drib_e <=> ,ok,ok,ok,ok,ok
EX_dtmp_e,dtmp_e <=> ,ok,ok,ok,ok,ok
EX_dump_e,dump_e <=> ,ok,ok,ok,ok,ok
EX_duri_e,duri_e <=> ,ok,ok,ok,ok,ok
EX_dxyl_e,dxyl_e <=> ,ok,ok,ok,ok,ok
EX_dxylnt_e,dxylnt_e <=> ,ok,ok,ok,ok,ok
EX_enter_e,enter_e <=> ,ok,ok,ok,ok,ok
EX_etha_e,etha_e <=> ,ok,ok,ok,ok,ok
EX_ethso3_e,ethso3_e <=> ,ok,ok,ok,ok,ok
EX_etoh_e,etoh_e <=> ,ok,ok,ok,ok,ok
EX_f6p_e,f6p_e <=> ,ok,ok,ok,ok,ok
EX_fad_e,fad_e <=> ,ok,ok,ok,ok,ok
EX_fald_e,fald_e <=> ,ok,ok,ok,ok,ok
EX_fcmcbtt_e,fcmcbtt_e <=> ,ok,ok,ok,ok,ok
EX_fe2_e,fe2_e <=> ,ok,ok,ok,ok,ok
EX_fe3_e,fe3_e <=> ,ok,ok,ok,ok,ok
EX_fe3dcit_e,fe3dcit_e <=> ,ok,ok,ok,ok,ok
EX_fe3dhbzs3_e,fe3dhbzs3_e <=> ,ok,ok,ok,ok,ok
EX_fe3dhbzs_e,fe3dhbzs_e <=> ,ok,ok,ok,ok,ok
EX_fe3pyovd_kt_e,fe3pyovd_kt_e <=> ,ok,ok,ok,ok,ok
EX_feenter_e,feenter_e <=> ,ok,ok,ok,ok,ok
EX_feoxam_e,feoxam_e <=> ,ok,ok,ok,ok,ok
EX_feoxam_un_e,feoxam_un_e <=> ,ok,ok,ok,ok,ok
EX_fmn_e,fmn_e <=> ,ok,ok,ok,ok,ok
EX_for_e,for_e <=> ,ok,ok,ok,ok,ok
EX_frmd_e,frmd_e <=> ,ok,ok,ok,ok,ok
EX_fru_e,fru_e <=> ,ok,ok,ok,ok,ok
EX_fuc__L_e,fuc__L_e <=> ,ok,ok,ok,ok,ok
EX_fum_e,fum_e <=> ,ok,ok,ok,ok,ok
EX_fusa_e,fusa_e <=> ,ok,ok,ok,ok,ok
EX_g1p_e,g1p_e <=> ,ok,ok,ok,ok,ok
EX_g3pc_e,g3pc_e <=> ,ok,ok,ok,ok,ok
EX_g3pe_e,g3pe_e <=> ,ok,ok,ok,ok,ok
EX_g3pg_e,g3pg_e <=> ,ok,ok,ok,ok,ok
EX_g3pi_e,g3pi_e <=> ,ok,ok,ok,ok,ok
EX_g3ps_e,g3ps_e <=> ,ok,ok,ok,ok,ok
EX_g6p_e,g6p_e <=> ,ok,ok,ok,ok,ok
EX_gal1p_e,gal1p_e <=> ,ok,ok,ok,ok,ok
EX_gal_bD_e,gal_bD_e <=> ,ok,ok,ok,ok,ok
EX_gal_e,gal_e <=> ,ok,ok,ok,ok,ok
EX_galam_e,galam_e <=> ,ok,ok,ok,ok,ok
EX_galct__D_e,galct__D_e <=> ,ok,ok,ok,ok,ok
EX_galctn__D_e,galctn__D_e <=> ,ok,ok,ok,ok,ok
EX_galctn__L_e,galctn__L_e <=> ,ok,ok,ok,ok,ok
EX_galt_e,galt_e <=> ,ok,ok,ok,ok,ok
EX_galur_e,galur_e <=> ,ok,ok,ok,ok,ok
EX_gam6p_e,gam6p_e <=> ,ok,ok,ok,ok,ok
EX_gam_e,gam_e <=> ,ok,ok,ok,ok,ok
EX_gdp_e,gdp_e <=> ,ok,ok,ok,ok,ok
EX_glc__D_e,glc__D_e <=> ,ok,ok,ok,ok,ok
EX_glc__aD_e,glc__aD_e <=> ,ok,ok,ok,ok,ok
EX_glcn_e,glcn_e <=> ,ok,ok,ok,ok,ok
EX_glcr_e,glcr_e <=> ,ok,ok,ok,ok,ok
EX_glcur1p_e,glcur1p_e <=> ,ok,ok,ok,ok,ok
EX_glcur_e,glcur_e <=> ,ok,ok,ok,ok,ok
EX_gln__L_e,gln__L_e <=> ,ok,ok,ok,ok,ok
EX_glu__L_e,glu__L_e <=> ,ok,ok,ok,ok,ok
EX_glucan6_e,glucan6_e <=> ,ok,ok,ok,ok,ok
EX_gly_asn__L_e,gly_asn__L_e <=> ,ok,ok,ok,ok,ok
EX_gly_asp__L_e,gly_asp__L_e <=> ,ok,ok,ok,ok,ok
EX_gly_cys_e,gly_cys_e <=> ,ok,ok,ok,ok,ok
EX_gly_e,gly_e <=> ,ok,ok,ok,ok,ok
EX_gly_gln_e,gly_gln_e <=> ,ok,ok,ok,ok,ok
EX_gly_glu__L_e,gly_glu__L_e <=> ,ok,ok,ok,ok,ok
EX_gly_leu_e,gly_leu_e <=> ,ok,ok,ok,ok,ok
EX_gly_met_e,gly_met_e <=> ,ok,ok,ok,ok,ok
EX_gly_phe_e,gly_phe_e <=> ,ok,ok,ok,ok,ok
EX_gly_pro__L_e,gly_pro__L_e <=> ,ok,ok,ok,ok,ok
EX_gly_tyr_e,gly_tyr_e <=> ,ok,ok,ok,ok,ok
EX_glyald_e,glyald_e <=> ,ok,ok,ok,ok,ok
EX_glyb_e,glyb_e <=> ,ok,ok,ok,ok,ok
EX_glyc2p_e,glyc2p_e <=> ,ok,ok,ok,ok,ok
EX_glyc3p_e,glyc3p_e <=> ,ok,ok,ok,ok,ok
EX_glyc__R_e,glyc__R_e <=> ,ok,ok,ok,ok,ok
