bigg_id,name,formulas,charges
10fthf6glu,"""10-formyltetrahydrofolate-[Glu](6)""",['C45H51N12O22'],[-7]
10fthf,"""10-Formyltetrahydrofolate""",['C20H21N7O7'],[-2]
10fthfglu__L,"""10-Formyltetrahydrofolyl L-glutamate""",['C25H28N8O10'],[]
10fthf5glu,"""10-formyltetrahydrofolate-[Glu](5)""",['C40H45N11O19'],[-6]
10m3ouACP,"""10-methyl-3-oxo-undecanoyl-ACP""",['C23H41N2O9PRS'],[0]
10fthf7glu,"""10-formyltetrahydrofolate-[Glu](7)""",['C50H57N13O25'],[-8]
10mtd2eACP,"""10-methyl-trans-dodec-2-enoyl-ACP""",['C24H43N2O8PRS'],[0]
10mtu2eACP,"""10-methyl-trans-undec-2-enoyl-ACP""",['C23H41N2O8PRS'],[0]
10m3uACP,"""10-methyl-3-hydroxy-undecanoyl-ACP""",['C23H43N2O9PRS'],[0]
10muACP,"""10-methyl-undecanoyl-ACP""",['C23H43N2O8PRS'],[0]
10mdACP,"""10-methyl-dodecanoyl-ACP""",['C24H45N2O8PRS'],[0]
11m3hdACP,"""11-methyl-3-hydroxy-dodecanoyl-ACP""",['C24H45N2O9PRS'],[0]
11_cis_retfa,"""Fatty acid 11-cis-retinol""",['C20H29OR2CO'],[0]
11docrtsl,"""11docrtsl c""",['C21H30O4'],[0]
11docrtstrn,"""11-Deoxycorticosterone""",['C21H30O3'],[0]
11m3odACP,"""11-methyl-3-oxo-dodecanoyl-ACP""",['C24H43N2O9PRS'],[0]
11mdACP,"""11-methyl-dodecanoyl-ACP""",['C24H45N2O8PRS'],[0]
11mtdeACP,"""11-methyl-trans-dodec-2-enoyl-ACP""",['C24H43N2O8PRS'],[0]
123oxtACP,"""12-methyl-3-oxo-tetra-decanoyl-ACP""",['C26H47N2O9PRS'],[0]
12d3k5m,"""1 2 dihydroxy 3 keto 5 methylthiopentene C6H8O3S""",['C6H8O3S'],[-2]
12dgr120,"""1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)""",['C27H52O5'],[0]
12dgr140160,"""1,2-Diacyl-sn-glycerol(14:0/16:0)""",['C33H64O5'],[0]
12dgr140,"""1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)""",['C31H60O5'],[0]
12dag3p_BS,"""1 2 diacyl sn glycerol 3 phosphate C3436H6572O800P100""",['C3436H6572O800P100'],[-200]
12dgr1401619Z,"""1,2-Diacyl-sn-glycerol(14:0/16:1(9Z))""",['C33H62O5'],[0]
12dgr140182n6,"""1,2-Diacyl-sn-glycerol(14:0/18:2(9Z,12Z))""",['C35H64O5'],[0]
12dgr140163n4,"""1,2-Diacyl-sn-glycerol(14:0/16:3(6Z,9Z,12Z))""",['C33H58O5'],[0]
12dgr140162n4,"""1,2-Diacyl-sn-glycerol(14:0/16:2(9Z,12Z))""",['C33H60O5'],[0]
12dgr141,"""1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)""",['C31H56O5'],[0]
12dgr140205n3,"""1,2-Diacyl-sn-glycerol(14:0/20:5(5Z,8Z,11Z,14Z,17Z))""",['C37H62O5'],[0]
12dgr140183n6,"""1,2-Diacyl-sn-glycerol(14:0/18:3(6Z,9Z,12Z))""",['C35H62O5'],[0]
12dgr140180,"""1,2-Diacyl-sn-glycerol(14:0/18:0)""",['C35H68O5'],[0]
12dgr140183n3,"""1,2-Diacyl-sn-glycerol(14:0/18:3(9Z,12Z,15Z))""",['C35H62O5'],[0]
12dgr1401819Z,"""1,2-Diacyl-sn-glycerol(14:0/18:1(9Z))""",['C35H66O5'],[0]
12dgr140204n6,"""1,2-Diacyl-sn-glycerol(14:0/20:4(5Z,8Z,11Z,14Z))""",['C37H64O5'],[0]
12dgr140226n3,"""1,2-Diacyl-sn-glycerol(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))""",['C39H64O5'],[0]
12dgr160140,"""1,2-Diacyl-sn-glycerol(16:0/14:0)""",['C33H64O5'],[0]
12dgr1601619Z,"""1,2-Diacyl-sn-glycerol(16:0/16:1(9Z))""",['C35H66O5'],[0]
12dgr160180,"""1,2-Diacyl-sn-glycerol(16:0/18:0)""",['C37H72O5'],[0]
12dgr16018111Z,"""1,2-Diacyl-sn-glycerol (1-hexadecanoyl,2-(11Z)-octadecenoyl, 16:0/18:1(11Z))""",['C37H70O5'],[]
12dgr1601819Z,"""1,2-Diacyl-sn-glycerol (1-hexadecanoyl,2-(9Z)-octadecenoyl, 16:0/18:1(9Z))""",['C37H70O5'],[0]
12dgr160182n6,"""1,2-Diacyl-sn-glycerol(16:0/18:2(9Z,12Z))""",['C37H68O5'],[0]
12dgr160183n3,"""1,2-Diacyl-sn-glycerol(16:0/18:3(9Z,12Z,15Z))""",['C37H66O5'],[0]
12dgr160183n6,"""1,2-Diacyl-sn-glycerol(16:0/18:3(6Z,9Z,12Z))""",['C37H66O5'],[0]
12dgr160204n6,"""1,2-Diacyl-sn-glycerol(16:0/20:4(5Z,8Z,11Z,14Z))""",['C39H68O5'],[0]
12dgr160205n3,"""1,2-Diacyl-sn-glycerol(16:0/20:5(5Z,8Z,11Z,14Z,17Z))""",['C39H66O5'],[0]
12dgr160,"""1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)""",['C35H68O5'],[0]
12dgr160226n3,"""1,2-Diacyl-sn-glycerol(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))""",['C41H68O5'],[0]
12dgr161,"""1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)""",['C35H64O5'],[0]
12dgr1619Z140,"""1,2-Diacyl-sn-glycerol(16:1(9Z)/14:0)""",['C33H62O5'],[0]
12dgr1619Z160,"""1,2-Diacyl-sn-glycerol(16:1(9Z)/16:0)""",['C35H66O5'],[0]
12dgr1619Z162n4,"""1,2-Diacyl-sn-glycerol(16:1(9Z)/16:2(9Z,12Z))""",['C35H62O5'],[0]
12dgr1619Z163n4,"""1,2-Diacyl-sn-glycerol(16:1(9Z)/16:3(6Z,9Z,12Z))""",['C35H60O5'],[0]
12dgr1619Z180,"""1,2-Diacyl-sn-glycerol(16:1(9Z)/18:0)""",['C37H70O5'],[0]
12dgr1619Z1819Z,"""1,2-Diacyl-sn-glycerol(16:1(9Z)/18:1(9Z))""",['C37H68O5'],[0]
12dgr1619Z182n6,"""1,2-Diacyl-sn-glycerol(16:1(9Z)/18:2(9Z,12Z))""",['C37H66O5'],[0]
12dgr1619Z183n3,"""1,2-Diacyl-sn-glycerol(16:1(9Z)/18:3(9Z,12Z,15Z))""",['C37H64O5'],[0]
12dgr1619Z183n6,"""1,2-Diacyl-sn-glycerol(16:1(9Z)/18:3(6Z,9Z,12Z))""",['C37H64O5'],[0]
12dgr1619Z204n6,"""1,2-Diacyl-sn-glycerol(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))""",['C39H66O5'],[0]
12dgr1619Z205n3,"""1,2-Diacyl-sn-glycerol(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))""",['C39H64O5'],[0]
12dgr1619Z226n3,"""1,2-Diacyl-sn-glycerol(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))""",['C41H66O5'],[0]
12dgr1619Z240,"""1,2-Diacyl-sn-glycerol (16:1(9Z)/24:0)""",['C43H82O5'],[0]
12dgr180,"""1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)""",['C39H76O5'],[0]
12dgr180140,"""1,2-Diacyl-sn-glycerol(18:0/14:0)""",['C35H68O5'],[0]
12dgr180160,"""1,2-Diacyl-sn-glycerol(18:0/16:0)""",['C37H72O5'],[0]
12dgr1801619Z,"""1,2-Diacyl-sn-glycerol(18:0/16:1(9Z))""",['C37H70O5'],[0]
12dgr180182n6,"""1,2-Diacyl-sn-glycerol(18:0/18:2(9Z,12Z))""",['C39H72O5'],[0]
12dgr1801819Z,"""1,2-Diacyl-sn-glycerol (1-octadecanoyl,2-(9Z)-octadecenoyl, 18:0/18:1(9Z))""",['C39H74O5'],[0]
12dgr180183n3,"""1,2-Diacyl-sn-glycerol(18:0/18:3(9Z,12Z,15Z))""",['C39H70O5'],[0]
12dgr180183n6,"""1,2-Diacyl-sn-glycerol(18:0/18:3(6Z,9Z,12Z))""",['C39H70O5'],[0]
12dgr180204n6,"""1,2-Diacyl-sn-glycerol(18:0/20:4(5Z,8Z,11Z,14Z))""",['C41H72O5'],[0]
12dgr180205n3,"""1,2-Diacyl-sn-glycerol(18:0/20:5(5Z,8Z,11Z,14Z,17Z))""",['C41H70O5'],[0]
12dgr180226n3,"""1,2-Diacyl-sn-glycerol(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))""",['C43H72O5'],[0]
12dgr181,"""1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)""",['C39H72O5'],[0]
12dgr18111Z160,"""1,2-Diacyl-sn-glycerol (1-(11Z)-octadecenoyl,2-hexadecanoyl, 18:1(11Z)/16:0)""",[],[]
12dgr18111Z18111Z,"""1,2-Diacyl-sn-glycerol (1,2-di-(11Z)-octadecenoyl, 18:1(11Z)/18:1(11Z))""",['C39H72O5'],[]
12dgr18111Z1819Z,"""1,2-Diacyl-sn-glycerol (1-(11Z)-octadecenoyl,2-(9Z)-octadecenoyl, 18:1(11Z)/18:1(9Z))""",['C39H72O5'],[]
12dgr181_9,"""1,2-Diacyl-sn-glycerol (dioctadec-9-enoyl, n-C18 1)""",['C39H72O5'],[0]
12dgr1819Z140,"""1,2-Diacyl-sn-glycerol(18:1(9Z)/14:0)""",['C35H66O5'],[0]
12dgr1819Z160,"""1,2-Diacyl-sn-glycerol (1-(9Z)-octadecenoyl,2-hexadecanoyl, 18:1(9Z)/16:0)""",['C37H70O5'],[0]
