blocked_aa7,blocked_models,blocked?,,
EX_apc_e,['iJN1463'],yes,,
EX_cd2_e,"['iECO103_1326', 'iAF692', 'iE2348C_1286', 'iEC1344_C', 'iEC1349_Crooks', 'iSF_1195', 'iNRG857_1313', 'iECH74115_1262', 'iECED1_1282', 'iEcSMS35_1347', 'iML1515', 'iEC1368_DH5a', 'iSSON_1240', 'iG2583_1286', 'iECSE_1348', 'iYS1720', 'iSBO_1134', 'iECB_1328', 'iECIAI1_1343', 'iAPECO1_1312', 'iUMN146_1321', 'iECD_1391', 'iECIAI39_1322', 'iYO844', 'iAF987', 'iECUMN_1333', 'iEcolC_1368', 'iEC042_1314', 'iS_1188', 'iEC1356_Bl21DE3', 'iB21_1397', 'iEKO11_1354', 'iSbBS512_1146', 'iUMNK88_1353', 'STM_v1_0', 'iEcE24377_1341', 'iBWG_1329', 'iEC1372_W3110', 'iECO26_1355', 'iEC55989_1330', 'iECNA114_1301', 'iECSF_1327', 'iSFxv_1172', 'iECO111_1330', 'iECOK1_1307', 'iECs_1301', 'iECS88_1305', 'iEC1364_W', 'iAF1260b', 'iETEC_1333', 'iYL1228', 'iECBD_1354', 'iUTI89_1310', 'ic_1306', 'iECABU_c1320', 'iECW_1372', 'iY75_1357', 'iEcHS_1320', 'iECSP_1301', 'iJN1463', 'iAF1260', 'iSFV_1184', 'iECDH10B_1368', 'iZ_1308', 'iEcDH1_1363', 'iJO1366', 'iWFL_1372', 'iECDH1ME8569_1439', 'iLF82_1304', 'iPC815', 'iSDY_1059', 'iECP_1309']",yes,,
EX_cm_e,"['iECO103_1326', 'iE2348C_1286', 'iEC1344_C', 'iEC1349_Crooks', 'iSF_1195', 'iNRG857_1313', 'iECH74115_1262', 'iECED1_1282', 'iEcSMS35_1347', 'iML1515', 'iEC1368_DH5a', 'iSSON_1240', 'iG2583_1286', 'iECSE_1348', 'iSBO_1134', 'iECB_1328', 'iECIAI1_1343', 'iAPECO1_1312', 'iUMN146_1321', 'iECD_1391', 'iECIAI39_1322', 'iECUMN_1333', 'iEcolC_1368', 'iEC042_1314', 'iS_1188', 'iEC1356_Bl21DE3', 'iB21_1397', 'iEKO11_1354', 'iSbBS512_1146', 'iUMNK88_1353', 'iEcE24377_1341', 'iBWG_1329', 'iEC1372_W3110', 'iECO26_1355', 'iEC55989_1330', 'iECNA114_1301', 'iECSF_1327', 'iSFxv_1172', 'iECO111_1330', 'iECOK1_1307', 'iECs_1301', 'iECS88_1305', 'iEC1364_W', 'iETEC_1333', 'iECBD_1354', 'iUTI89_1310', 'ic_1306', 'iECABU_c1320', 'iECW_1372', 'iY75_1357', 'iEcHS_1320', 'iECSP_1301', 'iJN1463', 'iSFV_1184', 'iECDH10B_1368', 'iZ_1308', 'iEcDH1_1363', 'iJO1366', 'iWFL_1372', 'iECDH1ME8569_1439', 'iLF82_1304', 'iSDY_1059', 'iECP_1309']",yes,,
EX_cro4_e,"['iJN1463', 'iYO844', 'iAF987']",yes,,
EX_h2_e,"['iSSON_1240', 'iG2583_1286', 'iYS1720', 'iSBO_1134', 'iECIAI1_1343', 'iEC1356_Bl21DE3', 'iB21_1397', 'iEKO11_1354', 'iSbBS512_1146', 'iEcE24377_1341', 'iBWG_1329', 'iECNA114_1301', 'iEK1008', 'iJN678', 'iECOK1_1307', 'iECS88_1305', 'iAF1260b', 'iETEC_1333', 'ic_1306', 'iEcDH1_1363', 'iSFxv_1172', 'iSDY_1059', 'iEC1344_C', 'iSF_1195', 'iECED1_1282', 'iECIAI39_1322', 'iECUMN_1333', 'iRC1080', 'iY75_1357', 'iECDH10B_1368', 'iZ_1308', 'iJO1366', 'iWFL_1372', 'iECO103_1326', 'iE2348C_1286', 'iEC1349_Crooks', 'iECH74115_1262', 'iLB1027_lipid', 'iML1515', 'iUMN146_1321', 'iAPECO1_1312', 'iECD_1391', 'iAF987', 'iCN900', 'iEC042_1314', 'iS_1188', 'STM_v1_0', 'iLJ478', 'iECSF_1327', 'iNJ661', 'iECO111_1330', 'iECs_1301', 'iIT341', 'iUTI89_1310', 'iAF1260', 'iHN637', 'iPC815', 'iJN746', 'iAF692', 'iNRG857_1313', 'iEcSMS35_1347', 'iEC1368_DH5a', 'iECSE_1348', 'iECB_1328', 'iSynCJ816', 'iEcolC_1368', 'iUMNK88_1353', 'iEC1372_W3110', 'iECO26_1355', 'iEC55989_1330', 'iEC1364_W', 'iYL1228', 'iECBD_1354', 'iECW_1372', 'iECABU_c1320', 'iEcHS_1320', 'iECSP_1301', 'iSFV_1184', 'iECDH1ME8569_1439', 'iLF82_1304', 'iECP_1309']",yes,,
EX_m_xyl_e,"['iJN746', 'iJN1463']",yes,,
EX_na1_e,"['iSSON_1240', 'iG2583_1286', 'iYS1720', 'iSBO_1134', 'iECIAI1_1343', 'iEC1356_Bl21DE3', 'iB21_1397', 'iEKO11_1354', 'iSbBS512_1146', 'iEcE24377_1341', 'iBWG_1329', 'iECNA114_1301', 'iEK1008', 'iJN678', 'iECOK1_1307', 'iECS88_1305', 'iAF1260b', 'iETEC_1333', 'iND750', 'ic_1306', 'RECON1', 'iEcDH1_1363', 'iSFxv_1172', 'iSDY_1059', 'iEC1344_C', 'iSF_1195', 'iECED1_1282', 'iJB785', 'iECIAI39_1322', 'iAM_Pb448', 'iMM904', 'iECUMN_1333', 'iJR904', 'iAM_Pf480', 'Recon3D', 'iRC1080', 'iCHOv1', 'iAM_Pk459', 'iY75_1357', 'iECDH10B_1368', 'iZ_1308', 'iJO1366', 'iWFL_1372', 'iECO103_1326', 'iE2348C_1286', 'iEC1349_Crooks', 'iAT_PLT_636', 'iECH74115_1262', 'iLB1027_lipid', 'iML1515', 'iUMN146_1321', 'iAPECO1_1312', 'iECD_1391', 'iAF987', 'iCN900', 'iEC042_1314', 'iS_1188', 'STM_v1_0', 'iSB619', 'iLJ478', 'iECSF_1327', 'iNJ661', 'iECO111_1330', 'iECs_1301', 'iIT341', 'iUTI89_1310', 'iAM_Pc455', 'iJN1463', 'iAF1260', 'iMM1415', 'iHN637', 'iPC815', 'iJN746', 'iAF692', 'iAM_Pv461', 'iNRG857_1313', 'iYS854', 'iEcSMS35_1347', 'iEC1368_DH5a', 'iECSE_1348', 'iECB_1328', 'iSynCJ816', 'iYO844', 'iEcolC_1368', 'iUMNK88_1353', 'iAB_RBC_283', 'iEC1372_W3110', 'iECO26_1355', 'iEC55989_1330', 'iCN718', 'iEC1364_W', 'iYL1228', 'iECBD_1354', 'iECW_1372', 'iECABU_c1320', 'iEcHS_1320', 'iECSP_1301', 'iSFV_1184', 'iECDH1ME8569_1439', 'iLF82_1304', 'iECP_1309']","yes (iml), no (ijn)",small constant flux,for biomass; not in AA7/ecoli biomass
EX_ni2_e,"['iSSON_1240', 'iG2583_1286', 'iYS1720', 'iSBO_1134', 'iECIAI1_1343', 'iEC1356_Bl21DE3', 'iB21_1397', 'iEKO11_1354', 'iSbBS512_1146', 'iEcE24377_1341', 'iBWG_1329', 'iECNA114_1301', 'iEK1008', 'iJN678', 'iECOK1_1307', 'iECS88_1305', 'iAF1260b', 'iETEC_1333', 'ic_1306', 'iEcDH1_1363', 'iSFxv_1172', 'iSDY_1059', 'iEC1344_C', 'iSF_1195', 'iECED1_1282', 'iJB785', 'iECIAI39_1322', 'iAM_Pb448', 'iECUMN_1333', 'iAM_Pf480', 'iAM_Pk459', 'iY75_1357', 'iECDH10B_1368', 'iZ_1308', 'iJO1366', 'iWFL_1372', 'iECO103_1326', 'iE2348C_1286', 'iEC1349_Crooks', 'iECH74115_1262', 'iML1515', 'iUMN146_1321', 'iAPECO1_1312', 'iECD_1391', 'iAF987', 'iEC042_1314', 'iS_1188', 'STM_v1_0', 'iSB619', 'iECSF_1327', 'iECO111_1330', 'iECs_1301', 'iIT341', 'iUTI89_1310', 'iAM_Pc455', 'iJN1463', 'iAF1260', 'iHN637', 'iPC815', 'iJN746', 'iAF692', 'iAM_Pv461', 'iNRG857_1313', 'iYS854', 'iEcSMS35_1347', 'iEC1368_DH5a', 'iECSE_1348', 'iECB_1328', 'iSynCJ816', 'iYO844', 'iEcolC_1368', 'iUMNK88_1353', 'iEC1372_W3110', 'iECO26_1355', 'iEC55989_1330', 'iEC1364_W', 'iYL1228', 'iECBD_1354', 'iECW_1372', 'iECABU_c1320', 'iEcHS_1320', 'iECSP_1301', 'iSFV_1184', 'iECDH1ME8569_1439', 'iLF82_1304', 'iECP_1309']",no,small constant flux,for biomass; not in AA7 biomass
EX_novbcn_e,"['iECO103_1326', 'iE2348C_1286', 'iEC1344_C', 'iEC1349_Crooks', 'iSF_1195', 'iNRG857_1313', 'iECH74115_1262', 'iECED1_1282', 'iEcSMS35_1347', 'iML1515', 'iEC1368_DH5a', 'iSSON_1240', 'iG2583_1286', 'iECSE_1348', 'iSBO_1134', 'iECB_1328', 'iECIAI1_1343', 'iAPECO1_1312', 'iUMN146_1321', 'iECD_1391', 'iECIAI39_1322', 'iECUMN_1333', 'iEcolC_1368', 'iEC042_1314', 'iS_1188', 'iEC1356_Bl21DE3', 'iB21_1397', 'iEKO11_1354', 'iSbBS512_1146', 'iUMNK88_1353', 'iEcE24377_1341', 'iBWG_1329', 'iEC1372_W3110', 'iECO26_1355', 'iEC55989_1330', 'iECNA114_1301', 'iECSF_1327', 'iSFxv_1172', 'iECO111_1330', 'iECOK1_1307', 'iECs_1301', 'iECS88_1305', 'iEC1364_W', 'iETEC_1333', 'iECBD_1354', 'iUTI89_1310', 'ic_1306', 'iECABU_c1320', 'iECW_1372', 'iY75_1357', 'iEcHS_1320', 'iECSP_1301', 'iSFV_1184', 'iECDH10B_1368', 'iZ_1308', 'iEcDH1_1363', 'iJO1366', 'iWFL_1372', 'iECDH1ME8569_1439', 'iLF82_1304', 'iSDY_1059', 'iECP_1309']",yes,,
EX_p_xyl_e,"['iJN746', 'iJN1463']",yes,,
