Metabolite,Stoichiometry
10fthf_c,-0.000223
ala__L_c,-0.513689
amet_c,-0.000223
arg__L_c,-0.295792
asn__L_c,-0.241055
asp__L_c,-0.241055
atp_c,-54.124831
ca2_c,-0.005205
cl_c,-0.005205
coa_c,-0.000576
cobalt2_c,-0.0001
ctp_c,-0.133508
cu2_c,-0.000709
cys__L_c,-0.09158
datp_c,-0.026166
dctp_c,-0.027017
dgtp_c,-0.027017
dttp_c,-0.026166
fad_c,-0.000223
fe2_c,-0.006715
fe3_c,-0.007808
gln__L_c,-0.26316
glu__L_c,-0.26316
gly_c,-0.612638
gtp_c,-0.215096
h2o_c,-48.601527
his__L_c,-0.094738
ile__L_c,-0.290529
k_c,-0.195193
kdo2lipid4_p,-0.019456
leu__L_c,-0.450531
lys__L_c,-0.343161
met__L_c,-0.153686
mg2_c,-0.008675
mlthf_c,-0.000223
mn2_c,-0.000691
mql8_c,-0.0001
murein5px4p_p,-0.013894
nad_c,-0.001831
nadp_c,-0.000447
pe160_c,-0.017868
pe160_p,-0.045946
pe161_c,-0.054154
pe161_p,-0.02106
phe__L_c,-0.185265
pheme_c,-0.000223
pro__L_c,-0.221055
pydx5p_c,-0.000223
ribflv_c,-0.000223
ser__L_c,-0.215792
sheme_c,-0.000223
so4_c,-0.004338
thf_c,-0.000223
thmpp_c,-0.000223
thr__L_c,-0.253687
trp__L_c,-0.056843
tyr__L_c,-0.137896
utp_c,-0.144104
val__L_c,-0.423162
zn2_c,-0.000341
adp_c,53.95
h_c,53.95
pi_c,53.945662
ppi_c,0.773903
