medium	description	compound	name
MARE_M9	combination of maize root exudate and M9 minimal medium	adpac	Adipic acid 
MARE_M9	combination of maize root exudate and M9 minimal medium	ala__L	Alanine
MARE_M9	combination of maize root exudate and M9 minimal medium	ala__D	Alanine
MARE_M9	combination of maize root exudate and M9 minimal medium	3mb	Butanoic Acid
MARE_M9	combination of maize root exudate and M9 minimal medium	fru	Fructose
MARE_M9	combination of maize root exudate and M9 minimal medium	gal__l	Galactose
MARE_M9	combination of maize root exudate and M9 minimal medium	glcn	Gluconic Acid
MARE_M9	combination of maize root exudate and M9 minimal medium	gly	Glycine
MARE_M9	combination of maize root exudate and M9 minimal medium	ile__L	Isoleucine
MARE_M9	combination of maize root exudate and M9 minimal medium	lac__L	Lactic acid 
MARE_M9	combination of maize root exudate and M9 minimal medium	lnlc	Linoleic acid
MARE_M9	combination of maize root exudate and M9 minimal medium	malon	Malonic acid
MARE_M9	combination of maize root exudate and M9 minimal medium	malt	Maltose
MARE_M9	combination of maize root exudate and M9 minimal medium	inost	Myo-inositol
MARE_M9	combination of maize root exudate and M9 minimal medium	ocdcea	Oleic acid 
MARE_M9	combination of maize root exudate and M9 minimal medium	hdcea	Palmitoleic acid 
MARE_M9	combination of maize root exudate and M9 minimal medium	pi	Phosphoric acid
MARE_M9	combination of maize root exudate and M9 minimal medium	all__D	Psicose
MARE_M9	combination of maize root exudate and M9 minimal medium	rmn	Rhamnose
MARE_M9	combination of maize root exudate and M9 minimal medium	rib__D	Ribose
MARE_M9	combination of maize root exudate and M9 minimal medium	srb__L	Sorbose
MARE_M9	combination of maize root exudate and M9 minimal medium	fru_B	Fructose
MARE_M9	combination of maize root exudate and M9 minimal medium	succ	Succinic acid
MARE_M9	combination of maize root exudate and M9 minimal medium	thrnt	Threonic Acid
MARE_M9	combination of maize root exudate and M9 minimal medium	urea	Urea
MARE_M9	combination of maize root exudate and M9 minimal medium	val__l	Valine
MARE_M9	combination of maize root exudate and M9 minimal medium	xylt	Xylitol
MARE_M9	combination of maize root exudate and M9 minimal medium	lac__D	Lactic acid 
MARE_M9	combination of maize root exudate and M9 minimal medium	val__D	Valine
MARE_M9	combination of maize root exudate and M9 minimal medium	gal	Galactose
MARE_M9	combination of maize root exudate and M9 minimal medium	na1	sodium 
MARE_M9	combination of maize root exudate and M9 minimal medium	pi	phosphate
MARE_M9	combination of maize root exudate and M9 minimal medium	nh4	ammonium 
MARE_M9	combination of maize root exudate and M9 minimal medium	cl	chloride
MARE_M9	combination of maize root exudate and M9 minimal medium	k	potassium 
MARE_M9	combination of maize root exudate and M9 minimal medium	h	H+
MARE_M9	combination of maize root exudate and M9 minimal medium	mg2	magnesium  
MARE_M9	combination of maize root exudate and M9 minimal medium	so4	sulfate
MARE_M9	combination of maize root exudate and M9 minimal medium	ca2	calcium 
MARE_M9	combination of maize root exudate and M9 minimal medium	fe3	iron
MARE_M9	combination of maize root exudate and M9 minimal medium	mn2	manganese 
MARE_M9	combination of maize root exudate and M9 minimal medium	zn2	zinc  
MARE_M9	combination of maize root exudate and M9 minimal medium	mobd	molybdate
MARE_M9	combination of maize root exudate and M9 minimal medium	o2	O2
MARE_M9	combination of maize root exudate and M9 minimal medium	cu2	copper 
MARE_M9	combination of maize root exudate and M9 minimal medium	cobalt2	cobalt 
MARE_M9	combination of maize root exudate and M9 minimal medium	fe2	iron
