metabolite_id (compartment specific),count
fad_c,34
occoa_c,3
fadh2_c,34
oc2coa_c,2
dhpmp_c,2
h2o_c,268
dhnpt_c,1
pi_c,87
ttdcap_c,2
h_c,417
ttdca_c,3
h2o_p,51
pgp181_p,1
pg181_p,3
pi_p,14
R_3hdd6e_c,2
atp_c,138
coa_c,125
R_3hdd6coa_c,2
amp_c,85
ppi_c,103
R_3hpnona_c,2
R_3hpnonacoa_c,2
ctp_c,10
tag6p__D_c,7
cdp_c,2
tagdp__D_c,6
rib__D_c,2
adp_c,62
r5p_c,13
acgam1p_c,4
utp_c,4
uacgam_c,8
ile__L_c,1
nad_c,46
2o3mpt_c,2
nadh_c,48
nh4_c,17
fe3dcit_c,3
nadph_c,37
cit_c,6
fe2_c,19
nadp_c,34
2mecdp_c,3
fdxrd_c,6
fdxo_2_2_c,3
h2mb4p_c,2
acser_c,3
tsul_c,6
ac_c,6
scys__L_c,2
pgp120_c,2
pg120_c,1
pep_c,17
sucr_e,1
pyr_c,39
suc6p_c,3
ura_c,4
psd5p_c,2
h_p,44
ttdcea_p,1
tdecoa_c,4
fe2_e,2
stfrnA_e,1
istfrnA_e,2
4hadnt_c,3
tntmdh_c,2
35dnta_c,1
no2_c,3
nonacoa_c,4
nona_c,2
R_3h6athcoa_c,2
R_3h6atha_c,2
phppcoa_c,1
cinmcoa_c,2
phedca_p,1
pdcacoa_c,2
gly_asp__L_c,1
asp__L_c,8
gly_c,12
air_c,6
hco3_c,4
5caiz_c,2
23dhmb_c,1
33hmeoxobut_c,2
gly_leu_e,1
gly_leu_c,2
R_3h4atbcoa_c,2
R_3h4atba_c,2
akg_c,10
lpam_c,5
co2_c,50
sdhlam_c,2
3hddcoa_c,1
trans_dd2coa_c,1
pdca2coa_c,1
2ahbut_c,4
23dhmp_c,2
ichor_c,4
23ddhb_c,2
gtp_c,8
man1p_c,3
gdpmann_c,4
glu__L_c,19
spmd_c,3
ggspmd_c,2
3hmrsACP_c,3
ACP_c,31
u3aga_c,1
S_gtrdhdlp_c,3
dhlam_c,4
glutcoa_c,2
R_3hpdeca_c,2
R_3hpdecacoa_c,2
glyc3p_c,19
ocdceap_c,3
1odec11eg3p_c,3
apoACP_c,2
pap_c,3
pa141_c,4
cdpdtdec7eg_c,3
pg161_p,4
2agpg161_p,1
hdcea_p,4
fe3dcit_p,1
fe3_c,5
g3p_c,21
13dpg_c,3
murein4px4p_p,2
murein4p4p_p,1
12dgr120_c,2
pa120_c,4
clpn140_p,1
pa140_p,2
pg140_p,2
R_3hphpcoa_c,2
R_3hphpa_c,2
udcpdp_c,4
udcpp_c,2
pphn_c,5
34hpp_c,2
clpn161_p,1
pa161_p,3
amet_c,6
dtbt_c,4
s_c,2
btn_c,3
dad_5_c,2
met__L_c,6
2maacoa_c,2
accoa_c,13
ppcoa_c,5
octeACP_c,6
gal_e,1
dgal6p_c,2
cdpdodec11eg_c,4
ser__L_c,10
cmp_c,26
ps181_c,2
murein5px4px4p_p,2
ala__D_p,4
murein4px4px4p_p,1
3hmbcoa_c,1
12dgr140_c,2
pa140_c,4
ttdcea_c,2
acmana_e,1
acmanap_c,5
s17bp_c,3
dhap_c,9
e4p_c,3
pnonacoa_c,2
pnona2coa_c,1
3hbcoa__R_c,5
b2coa_c,3
R_3hmrscoa_c,4
td2coa_c,4
cdpdhdec9eg_c,4
pa161_c,4
glutrna_c,3
glu1sa_c,1
trnaglu_c,3
R_3hhpcoa_c,2
R_3hhpa_c,2
1p2cbxl_c,2
pro__L_c,4
ggbdapal_c,2
ggaptn_c,2
gly_cys_e,1
gly_cys_c,2
man6p_c,6
f6p_c,12
R_3hnonaa_c,2
R_3hnonacoa_c,2
argsuc_c,3
arg__L_c,1
fum_c,5
ptd1ino160_c,2
12dgr160_c,1
mi1p__D_c,1
prpp_c,2
prbatp_c,3
murein3p3p_p,2
anhgm3p_p,4
lnlc_c,2
lnlccoa_c,4
dccoa_c,2
3oddcoa_c,1
3hmop_c,1
aad_c,2
5aizc_c,5
25aics_c,1
ptsla_p,1
ptslacoa_c,2
R_3hhxa_c,2
R_3hhcoa_c,4
bhb_c,3
pgp180_p,1
pg180_p,3
3hmp_c,1
mmalsa__S_c,3
pta_c,2
ptcoa_c,3
5a2opntn_c,1
ggbamppal_c,2
ggala_B_c,2
3hbycoa_c,2
acmum6p_c,3
acgam6p_c,3
lac__D_c,1
ru5p__D_c,4
2dmmq8_c,3
ahcys_c,2
mql8_c,1
fdp_c,7
R_3hcmrs7ecoa_c,2
R_3hcmrs7e_c,2
feenter_p,1
feenter_c,7
fe3_e,4
pyovd_kt_e,1
fe3pyovd_kt_e,1
Largn_c,2
gam1p_c,1
gdptp_c,4
dc2coa_c,4
3ig3p_c,3
trp__L_c,1
13dampp_c,2
gg13dampp_c,2
pptcoa_c,2
ppt2coa_c,1
itp_c,1
idp_c,1
actACP_c,1
3haACP_c,2
3optcoa_c,1
myrsACP_c,4
man_e,1
2obut_c,2
cdpdtdecg_c,3
ppa_c,1
ppad_c,2
sbzcoa_c,5
dhna_c,3
s7p_c,3
fmn_c,11
ribflv_c,7
3oocoa_c,3
3hocoa_c,2
2oxoadp_c,2
R_3hcddec5ecoa_c,2
R_3hdd5ea_c,2
u3hga_c,1
u23ga_c,1
dxyl5p_c,2
hdd4coa_c,1
hdd4_2_coa_c,1
hdcap_c,3
1hdecg3p_c,4
g3pg_c,3
glyc_c,3
S2hglut_c,3
dded3coa_c,1
dd2coa_c,1
ala_B_c,2
hpta_c,2
hptcoa_c,4
pgp161_p,1
5aptn_c,1
phehxa_p,1
phxacoa_c,2
R_3htd58coa_c,2
R_3htd58e_c,2
ade_c,3
hkmpp_c,2
dhmtp_c,1
palmACP_c,7
2agpg181_c,2
pg181_c,2
cdpdddecg_c,3
forglu_c,1
Nforglu_c,2
phpcoa_c,2
php2coa_c,1
cdigmp_c,2
hp2coa_c,1
R_3hhdcoa_c,3
R_3hhdca_c,2
hethmpp_c,4
thmpp_c,8
murein4p3p_p,1
anhgm4p_p,3
ddcoa_c,1
3otdcoa_c,1
ptsla2coa_c,1
pgp181_c,2
tnt_c,4
2agpg160_c,3
pg160_c,6
gg15dap_c,2
o2_c,28
h2o2_c,5
benzcoa_c,1
succoa_c,5
hdcoa_c,2
hd2coa_c,1
R_3hpocta_c,2
R_3hpoctacoa_c,2
frdp_c,1
pheme_c,2
hemeO_c,1
alac__S_c,3
dec4_2_coa_c,2
adprib_c,3
dkmpp_c,1
pe181_c,2
2me4p_c,3
4c2me_c,2
vacc_c,2
vacccoa_c,3
pqq_c,2
skm_c,1
3dhsk_c,1
pqqh2_c,2
2agpg181_p,1
vacc_p,5
R_3hdda_c,2
R_3hddcoa_c,2
10fthf_c,1
gar_c,4
fgam_c,4
thf_c,5
R_3hptcoa_c,2
R_3hpt_c,2
hdca_c,6
gly_pro__L_c,1
mmal_c,1
pgp160_p,1
pg160_p,5
pa141_p,2
12dgr141_p,1
2dh3dgal6p_c,1
urate_c,1
5hiu_c,2
nadhx__S_c,2
pa120_p,2
12dgr120_p,1
lnlc2coa_c,1
acmana_c,2
gly_tyr_c,2
tyr__L_c,3
cdpdhdecg_c,4
pgp160_c,2
2ddg6p_c,1
tdcoa_c,5
gly_phe_e,1
gly_phe_c,2
trdrd_c,3
cys__L_c,6
so3_c,7
trdox_c,3
6atha_p,1
6athcoa_c,2
12dgr161_p,1
cdpdodecg_c,4
pa180_c,5
man_c,2
2agpe181_c,1
R_3hpba_c,2
R_3hpbcoa_c,2
phxa2coa_c,1
leu__D_c,1
4mop_c,1
galt1p_c,1
serglugly_c,1
3mb2coa_c,2
3mgcoa_c,3
pa181_c,5
3ohodcoa_c,2
3hodcoa_c,3
murein5p5p_p,3
murein5px4p_p,3
5pg35pg_c,1
xu5p__D_c,2
ggbutal_c,1
enter_c,6
ppgpp_c,4
gdp_c,6
co_c,1
pppi_c,8
nona_p,1
for_c,5
ametam_c,2
ptrc_c,2
5mta_c,1
ficytc_c,7
q8h2_c,1
focytc_c,7
q8_c,1
pa180_p,2
12dgr180_p,1
g6p_A_c,4
murein3px3p_p,2
odecoa_c,1
ode2coa_c,1
12dgr161_c,2
clpn120_p,2
pg120_p,3
R_3hdcoa_c,4
